Disease,Symptom,Normalized_Severity,Description,Precautions
(vertigo) Paroymsal  Positional Vertigo,", spinning_movements, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,,,,,,,,,,,, vomiting, nausea, spinning_movements, loss_of_balance, unsteadiness,,,,,,,,,,,,, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,,,,,,,,,,,,, nausea, vomiting, headache, nausea, loss_of_balance, unsteadiness,,,,,,,,,,,,, vomiting, headache, nausea, spinning_movements, loss_of_balance,,,,,,,,,,,,, vomiting, vomiting, headache, nausea, spinning_movements, unsteadiness,,,,,,,,,,,,, vomiting, headache, spinning_movements, loss_of_balance, unsteadiness,,,,,,,,,,,,, loss_of_balance, headache, unsteadiness",0.27,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,"lie down, avoid sudden change in body, avoid abrupt head movment, relax"
AIDS,", patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,, extra_marital_contacts, muscle_wasting, high_fever, extra_marital_contacts,,,,,,,,,,,,,,, patches_in_throat, muscle_wasting, patches_in_throat, extra_marital_contacts,,,,,,,,,,,,,,, muscle_wasting, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,, high_fever, muscle_wasting, patches_in_throat, high_fever,,,,,,,,,,,,,,",0.18,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.","avoid open cuts, wear ppe if possible, consult doctor, follow up"
Acne,", skin_rash, pus_filled_pimples, blackheads,,,,,,,,,,,,,,, scurring, pus_filled_pimples, blackheads, skin_rash, pus_filled_pimples, scurring,,,,,,,,,,,,,,, skin_rash, blackheads, scurring,,,,,,,,,,,,,,, skin_rash, pus_filled_pimples, blackheads, scurring,,,,,,,,,,,,,, pus_filled_pimples, blackheads, scurring,,,,,,,,,,,,,,, skin_rash",0.02,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.","bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products"
Alcoholic hepatitis,"abdominal_pain, , distention_of_abdomen, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, history_of_alcohol_consumption, fluid_overload,,,,,,,,,,,, vomiting, yellowish_skin, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,,,,,,,,,,,, vomiting, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,,,,,,,,,,,, history_of_alcohol_consumption, vomiting, yellowish_skin, abdominal_pain, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,,,,,,,,,,,, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,,,,,,,,,,, fluid_overload, swelling_of_stomach, yellowish_skin, vomiting, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption,,,,,,,,,,,, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, fluid_overload,,,,,,,,,,,, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,,,,,,,,,,,",0.43,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol","stop alcohol consumption, consult doctor, medication, follow up"
Allergy,", continuous_sneezing, shivering, chills,,,,,,,,,,,,,,, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,, chills, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,, watering_from_eyes, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,, shivering",0.11,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.","apply calamine, cover area with bandage, use ice to compress itching"
Arthritis,", swelling_joints, movement_stiffness, muscle_weakness, stiff_neck, muscle_weakness, stiff_neck, swelling_joints, painful_walking,,,,,,,,,,,,,, muscle_weakness, swelling_joints, movement_stiffness, painful_walking,,,,,,,,,,,,,, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness,,,,,,,,,,,,,, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking,,,,,,,,,,,,, stiff_neck, swelling_joints, movement_stiffness, painful_walking,,,,,,,,,,,,,, muscle_weakness, stiff_neck, movement_stiffness, painful_walking,,,,,,,,,,,,,, painful_walking",0.15,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.","exercise, use hot and cold therapy, try acupuncture, massage"
Bronchial Asthma,", fatigue, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,, fatigue, cough, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,, fatigue, cough, high_fever, family_history, mucoid_sputum,,,,,,,,,,,,, fatigue, cough, high_fever, breathlessness, mucoid_sputum,,,,,,,,,,,,, cough, mucoid_sputum, fatigue, family_history, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,, high_fever, breathlessness, fatigue, cough, high_fever, breathlessness, family_history,,,,,,,,,,,,",0.28,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.","switch to loose cloothing, take deep breaths, get away from trigger, seek help"
Cervical spondylosis,"back_pain, , neck_pain, back_pain, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,, back_pain, weakness_in_limbs, dizziness, loss_of_balance,,,,,,,,,,,,,, back_pain, weakness_in_limbs, neck_pain, dizziness,,,,,,,,,,,,,, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,, dizziness, weakness_in_limbs, loss_of_balance, back_pain, weakness_in_limbs, neck_pain, loss_of_balance,,,,,,,,,,,,,",0.21,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).","use heating pad or cold pack, exercise, take otc pain reliver, consult doctor"
Chicken pox,", red_spots_over_body, itching, skin_rash, fatigue, lethargy, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,, lethargy, itching, loss_of_appetite, mild_fever, itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,, itching, skin_rash, fatigue, lethargy, high_fever, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,, swelled_lymph_nodes, malaise, itching, skin_rash, fatigue, lethargy, high_fever, headache, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,, itching, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,, high_fever, headache, itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, malaise, red_spots_over_body,,,,,,,, itching, skin_rash, fatigue, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,, itching, skin_rash, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,, skin_rash, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,,, fatigue, itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,,,,,,",0.52,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.","use neem in bathing , consume neem leaves, take vaccine, avoid public places"
Chronic cholestasis,"abdominal_pain, , vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,, itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,, itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes,,,,,,,,,,,, itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,, itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,, itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,, itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain,,,,,,,,,,,, nausea, itching, loss_of_appetite, yellowish_skin, vomiting, yellowing_of_eyes, itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,",0.26,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy"
